Interval=,0.1 s,,,,,,,
ExcelDateTime=,4.43E+04,47:56.7,,,,,,
TimeFormat=,StartOfBlock,,,,,,,
DateFormat=,,,,,,,,
ChannelTitle=,Finger Pressure,Systolic,Mean Arterial,Diastolic,Heart Rate,DCS 1cm,DCS 3cm,
Range=,400 mmHg,400 mmHg,400 mmHg,400 mmHg,400 beats/min,400 BFI,400 BFI,
25.5,98.55,139,100,84,71,3.64E-09,9.19E-09,
25.6,99.5,139,100,84,71,1.31E-09,4.44E-09,
25.7,96.2,139,100,84,71,2.17E-09,5.13E-09,
25.8,87.9,140.95,99.35,84,72.95,2.18E-09,4.34E-09,
25.9,86.85,142,99,84,74,2.61E-09,3.55E-09,
26,86.25,142,99,84,74,1.96E-09,4.87E-09,
26.1,125.15,142,99,84,74,3.56E-09,8.92E-09,
26.2,114.95,142,99,84,74,6.25E-09,8.81E-09,
26.3,100.35,142,99,84,74,3.06E-09,7.10E-09,
26.4,103.35,142,99,84,74,2.73E-09,5.39E-09,
26.5,95.75,142,99,84,74,2.78E-09,5.53E-09,
26.6,89,144.25,97.5,84,75.5,3.03E-09,4.09E-09,
26.7,87.7,145,97,84,76,3.10E-09,4.63E-09,
26.8,90.4,145,97,84,76,2.31E-09,3.90E-09,
26.9,135,145,97,84,76,5.22E-09,6.39E-09,
27,115.05,145,97,84,76,6.08E-09,9.95E-09,
27.1,102.75,145,97,84,76,4.06E-09,6.30E-09,
27.2,105.75,145,97,84,76,2.75E-09,6.89E-09,
27.3,95.4,145,97,84,76,2.81E-09,4.67E-09,
27.4,90.2,145,97,84,76,2.30E-09,3.54E-09,
27.5,88.55,145.7,97.7,85.4,77.4,2.56E-09,4.21E-09,
27.6,87.45,146,98,86,78,2.90E-09,4.24E-09,
27.7,130.95,146,98,86,78,3.80E-09,5.51E-09,
27.8,118.5,146,98,86,78,5.75E-09,8.77E-09,
27.9,111.2,146,98,86,78,4.44E-09,7.15E-09,
28,115.5,146,98,86,78,3.72E-09,6.74E-09,
28.1,115.25,146,98.75,86,78,2.87E-09,7.18E-09,
28.2,115.3,146,101,86,78,2.44E-09,6.07E-09,
28.3,115.45,146,101,86,78,2.83E-09,3.66E-09,
28.4,115.25,146,101,86,78,3.46E-09,3.29E-09,
28.5,115.7,146,101,86,78,2.17E-09,6.85E-09,
28.6,115.1,146,101,86,78,5.89E-09,1.00E-08,
28.7,105.35,146,101,86,78,4.21E-09,7.72E-09,
28.8,103.9,146,101,86,78,3.20E-09,5.50E-09,
28.9,103.95,146.6,101.15,86,77.25,3.19E-09,7.13E-09,
29,103.95,150,102,86,73,2.32E-09,3.97E-09,
29.1,103.95,150,102,86,73,3.13E-09,5.92E-09,
29.2,103.9,150,102,86,73,2.21E-09,3.53E-09,
29.3,104.1,150,102,86,73,3.82E-09,4.91E-09,
29.4,103.85,150,102,86,73,5.13E-09,1.02E-08,
29.5,104.35,150,102,86,73,4.49E-09,1.08E-08,
29.6,104,150,102,86,73,2.78E-09,8.07E-09,
29.7,105.55,150,102,86,73,3.44E-09,5.65E-09,
