Column1,Column2,Column3,Column4,Column5
Interval=,0.05 s,,,
ExcelDateTime=,4.4355478776009855e+004,8/06/2021 11:29:26.247252,,
TimeFormat=,StartOfBlock,,,
DateFormat=,,,,
ChannelTitle=,TCD,DCS/trNIRS,ECG,HR
Range=,10.000 V,5.000 V,20.000 mV,105.5050 BPM
UnitName=,cm/s,*,*,*
TopValue=,160.00,*,*,*
BottomValue=,-160.00,*,*,*
61.25,82.2763,5.004509,-0.08354049,69.61727
61.3,83.1091,5.004622,-0.07132398,69.61727
61.35,74.6813,5.004587,-0.0621907,69.61727
61.4,66.4185,5.004497,-0.05489302,69.61727
61.45,69.2524,5.004575,-0.05489542,69.61727
61.5,67.8325,5.0046,-0.05155366,69.61727
61.55,63.9356,5.004612,-0.04821775,69.61727
61.6,61.0409,5.004644,-0.03714759,69.61727
61.65,57.8996,5.004631,-0.01917797,69.61727
61.7,55.2152,5.004641,-0.02464941,69.61727
61.75,52.7317,5.004675,0.212031,71.65796
61.8,51.7208,5.004575,-0.06665222,75.73934
61.85,50.4285,5.004659,-0.03012279,75.73934
61.9,49.4532,5.004628,-0.01347611,75.73934
61.95,53.1942,5.004637,0.02023312,75.73934
62,78.6458,5.004587,0.1231131,75.73934
62.05,89.4036,5.004612,0.08117805,75.73934
62.1,81.7986,5.004587,-0.06867627,75.73934
62.15,76.692,5.004631,-0.0776096,75.73934
62.2,70.6791,5.004653,-0.06155332,75.73934
62.25,63.4008,5.004637,-0.05460207,75.73934
62.3,65.6755,5.004631,-0.05407769,75.73934
62.35,65.4484,5.004622,-0.04253094,75.73934
62.4,61.9353,5.004675,-0.04074965,75.73934
62.45,59.5666,5.004653,-0.009751943,75.73934
62.5,54.8463,5.00465,-0.03212435,75.73934
62.55,53.6623,5.004644,0.2439802,74.85097
62.6,53.2767,5.004637,-0.07755708,73.07425
62.65,51.1388,5.004575,-0.01777308,73.07425
62.7,49.5641,5.004728,0.0009394702,73.07425
62.75,57.7184,5.00465,0.03158129,73.07425
62.8,83.2015,5.004675,0.1469188,73.07425
62.85,88.6748,5.004615,0.06054458,73.07425
62.9,84.1093,5.004678,-0.06448613,73.07425
62.95,78.3119,5.004697,-0.07268834,73.07425
63,72.0774,5.004784,-0.06243835,73.07425
63.05,63.9549,5.004722,-0.05890222,73.07425
63.1,66.2437,5.004678,-0.06396673,73.07425
63.15,67.2123,5.004628,-0.06705919,73.07425
63.2,62.9173,5.004703,-0.06493176,73.07425
63.25,59.3429,5.004603,-0.04379456,73.07425
63.3,56.3314,5.004741,-0.0465973,73.07425
63.35,54.1756,5.004697,0.04633566,73.07425
63.4,53.0676,5.004684,0.08945162,72.70242
63.45,51.1824,5.004716,-0.05699976,71.95877
63.5,49.5058,5.004637,-0.03778329,71.95877
63.55,51.7059,5.004566,-0.01212144,71.95877
63.6,78.2889,5.004634,0.06762487,71.95877
63.65,92.1706,5.004594,0.1113385,71.95877
63.7,90.1304,5.004606,-0.05675598,71.95877
63.75,84.2375,5.004459,-0.07630409,71.95877
63.8,82.6204,5.004625,-0.05939263,71.95877
63.85,68.9287,5.004609,-0.04724471,71.95877
63.9,66.2982,5.0046,-0.04089637,71.95877
63.95,67.2994,5.004628,-0.03978111,71.95877
64,66.2735,5.003525,-0.04054972,71.95877
64.05,62.8934,5.003403,-0.03147656,71.95877
64.1,58.9306,5.004181,-0.008468471,71.95877
64.15,55.1372,5.004628,-0.02688995,71.95877
64.2,53.64,5.004631,0.2274918,72.53969
64.25,52.0295,5.004537,-0.07264006,73.70153
64.3,50.9595,5.004497,-0.03201535,73.70153
64.35,50.4973,5.004569,-0.01117901,73.70153
64.4,53.5629,5.004622,0.01905655,73.70153
64.45,80.9985,5.004562,0.1237196,73.70153
64.5,90.1684,5.004578,0.07763894,73.70153
64.55,83.9111,5.004525,-0.06555687,73.70153
64.6,79.3899,5.004459,-0.06759038,73.70153
64.65,73.2604,5.004463,-0.0504558,73.70153
64.7,64.4561,5.004459,-0.0434086,73.70153
64.75,65.744,5.004519,-0.03875165,73.70153
64.8,66.8406,5.004656,-0.038784,73.70153
64.85,61.8939,5.004559,-0.03716594,73.70153
64.9,60.2214,5.004672,-0.02029796,73.70153
64.95,54.9362,5.004628,-0.01911538,73.70153
65,53.5902,5.004662,0.1004751,73.70153
65.05,52.5888,5.004644,0.05939484,74.28171
65.1,51.6559,5.00435,-0.02668671,75.44207
65.15,49.6642,5.004516,-0.01476645,75.44207
65.2,49.6252,5.004541,0.01625651,75.44207
65.25,69.1599,5.004509,0.1132295,75.44207
65.3,85.2043,5.004444,0.1392249,75.44207
65.35,79.7575,5.004466,-0.03629282,75.44207
65.4,71.5925,5.004578,-0.05295006,75.44207
65.45,68.1952,5.004597,-0.03692352,75.44207
65.5,61.8916,5.004519,-0.02800269,75.44207
65.55,62.8403,5.004472,-0.02423761,75.44207
65.6,64.3605,5.004591,-0.0253024,75.44207
65.65,61.4818,5.004525,-0.01337646,75.44207
65.7,58.5243,5.004494,0.001004377,75.44207
65.75,53.1477,5.004453,0.00524007,75.44207
65.8,51.1807,5.004609,0.1611893,74.65218
65.85,51.1811,5.0045,0.06226557,73.07237
65.9,49.7834,5.004494,-0.009789012,73.07237
65.95,46.7604,5.004431,0.002834182,73.07237
66,53.132,5.004572,0.03006977,73.07237
66.05,76.9398,5.00465,0.1060609,73.07237
66.1,88.5508,5.004481,0.1214583,73.07237
66.15,81.6147,5.004494,-0.04697445,73.07237
66.2,78.0118,5.004591,-0.06586072,73.07237
66.25,73.6622,5.004491,-0.05997766,73.07237
66.3,65.297,5.004625,-0.04443711,73.07237
66.35,63.8279,5.004516,-0.04255145,73.07237
66.4,67.0001,5.004544,-0.04456415,73.07237
66.45,62.5897,5.004328,-0.03481642,73.07237
66.5,59.6053,5.004562,-0.03723267,73.07237
66.55,55.691,5.004556,-0.004915427,73.07237
66.6,52.4265,5.004494,-0.04593842,73.07237
66.65,50.0807,5.004516,0.2213661,72.15493
66.7,50.0984,5.004497,-0.048365,70.32005
66.75,48.637,5.00455,-0.02621679,70.32005
66.8,48.1966,5.004537,-0.009226554,70.32005
66.85,69.3245,5.004525,0.04272355,70.32005
66.9,87.3909,5.004556,0.1425306,70.32005
