Interval=	0.1 s						
ExcelDateTime=	4.43E+04	47:56.7					
TimeFormat=	StartOfBlock						
DateFormat=							
ChannelTitle=	Finger Pressure	Systolic	Mean Arterial	Diastolic	Heart Rate	DCS 1cm (e-09)	DCS 3cm (e-09)
Range=	400 mmHg	400 mmHg	400 mmHg	400 mmHg	400 beats/min	400 BFI	400 BFI
37.4	84.5	145	101	87	77	2.356613441	4.232688278
37.5	112.2	145	101	87	77	2.612233378	4.894137695
37.6	125.25	145	101	87	77	6.547183394	8.518724815
37.7	107.35	145	101	87	77	3.348715471	11.07677247
37.8	100.9	145	101	87	77	2.843940508	4.940793277
37.9	99.85	145	101	87	77	2.515922349	6.418472085
38	89.3	145	101.8	87.8	74.6	2.65359945	4.383555445
38.1	87.15	145	102	88	74	3.373777753	4.588413021
38.2	85.55	145	102	88	74	2.675426907	5.003507253
38.3	94.4	145	102	88	74	1.278793411	2.832881258
38.4	134.15	145	102	88	74	6.733003194	9.075181457
38.5	108.95	145	102	88	74	3.916385179	6.929472209
38.6	99.4	145	102	88	74	3.242526436	5.516605151
38.7	102.75	145	102	88	74	2.060671447	5.456298921
38.8	91.45	145	100.3	86.3	72.3	2.037040225	3.061540159
38.9	87.35	145	100	86	72	2.065295946	5.45987248
39	86.35	145	100	86	72	2.299858381	2.489811386
39.1	84.85	145	100	86	72	2.329556723	3.190828148
39.2	127.8	145	100	86	72	3.674431128	6.993646006
39.3	113.85	145	100	86	72	5.816782043	6.88771486
39.4	100.35	145	100	86	72	2.792651128	3.716938827
39.5	102.9	145	100	86	72	1.904488362	5.289233855
39.6	94.7	142.5	100	84.5	72	2.927815816	6.044988624
39.7	88.1	140	100	83	72	2.460061834	3.220633437
39.8	86.95	140	100	83	72	2.144809586	3.128438525
39.9	85.9	140	100	83	72	2.48179084	3.093994814
40	125.45	140	100	83	72	3.92266919	7.179063863
40.1	108.75	140	100	83	72	5.054321549	11.39827959
40.2	94.75	140	100	83	72	2.438303864	4.188224962
40.3	101.75	140	100	83	72	1.845667266	5.780755817
40.4	91.3	140.1	100	83.05	71.95	1.653845095	5.08659651
40.5	86.7	142	100	84	71	2.196475264	2.803307485
40.6	85.6	142	100	84	71	2.14442829	3.563523977
40.7	102.7	142	100	84	71	1.921949709	3.65288111
40.8	128.3	142	100	84	71	6.804403557	14.17742795
40.9	102.35	142	100	84	71	3.959653578	7.058455978
41	100.1	142	100	84	71	2.24089974	3.855535323
41.1	99.8	142	100	84	71	2.547007303	3.545810056
41.2	89.4	142.45	100	84.15	71.75	2.592524759	3.706486238
41.3	88.35	145	100	85	76	3.070445152	3.12847806
41.4	89.7	145	100	85	76	3.000126702	3.733923927
41.5	134.15	145	100	85	76	3.357205094	11.59541903
41.6	112.3	145	100	85	76	5.020391166	7.652199187
41.7	100.35	145	100	85	76	2.740748773	4.239425296
41.8	104.95	145	100	85	76	1.577532931	5.166314016
41.9	95.25	145	100	85	76	2.821322046	4.562528268
42	89.75	145	100	85	76	2.368178381	4.236806452
42.1	87.65	145	100	85	76	2.328989581	4.187474594
42.2	90.95	146.9	100	85	76	2.961296608	4.182730461
42.3	136.75	147	100	85	76	5.429377183	7.972250138
42.4	113.6	147	100	85	76	5.357530843	10.19609468
42.5	101.8	147	100	85	76	3.028598448	5.251218626
42.6	105.25	147	100	85	76	2.490061119	7.123279546
42.7	93.7	147	99.5	85.25	77	2.45787692	3.576729655
42.8	88.8	147	99.5	86	80.5	1.976242678	4.240925204
42.9	87.6	147	101	86	81	2.113409367	2.967070139
43	88.15	147	101	86	81	2.201989915	3.196325265
43.1	134.6	147	101	86	81	5.073165139	7.285511574
43.2	114.75	147	101	86	81	5.802727801	6.816722949
43.3	102.4	147	101	86	81	4.285088648	8.482494546
43.4	105.05	147	101	86	81	1.61890025	5.655790141
43.5	94.95	145.65	101.45	86.45	79.2	2.986056168	5.212670522
43.6	88.25	144	102	87	77	2.405540402	3.060694715
43.7	87.75	144	102	87	77	2.146804127	3.698257836
43.8	85.5	144	102	87	77	2.431040296	2.771944006
43.9	113.15	144	102	87	77	2.523861698	4.613581376
44	121.1	144	102	87	77	5.302064796	9.808298916
44.1	98.85	144	102	87	77	3.895092831	9.443278921
44.2	101.35	144	102	87	77	2.596245684	4.275348791
44.3	96.65	144.25	102	86	76	2.650886275	5.259429258
44.4	88.55	145	102	83	73	2.368609811	4.899897298
44.5	86.35	145	102	83	73	2.369752193	2.735689438
44.6	84.25	145	102	83	73	2.634758287	3.625122745
44.7	118.95	145	102	83	73	3.097568375	5.230615014
44.8	119	145	102	83	73	5.81282726	10.24369372
44.9	99.45	145	102	83	73	3.926863627	6.131350614
45	101	145	102	83	73	2.415936642	4.649296401
45.1	95.15	145	102	83	73	2.565027767	6.881336281
45.2	87.75	145	102	83	73	2.776229387	4.627865402
45.3	87	145	101.6	84.2	72.2	2.713439972	3.185264915
45.4	87.65	145	101	86	71	2.46545521	3.725339481
45.5	131.55	145	101	86	71	4.767722087	6.306925948
45.6	113.55	145	101	86	71	5.562307158	9.530624389
45.7	100.7	145	101	86	71	3.377381916	5.438414398
45.8	104.6	145	101	86	71	2.349296069	5.408521847
45.9	94.65	145	101	86	71	2.987784378	4.302411809
46	88.95	149.75	99.1	85.05	75.75	2.376626939	3.253200391
46.1	87.9	150	99	85	76	2.447690996	4.444071839
46.2	86.35	150	99	85	76	1.978005212	3.381508029
46.3	129.4	150	99	85	76	4.618740646	8.549782698
46.4	118.95	150	99	85	76	6.273732036	7.636883912
46.5	105.1	150	99	85	76	3.875872872	7.672162355
46.6	104.25	150	99	85	76	2.711575179	5.118539018
