Interval=	0.05 s
ExcelDateTime=	4.4588648064983885e+004	27/01/2022 15:33:12.814608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	BraBP	TCD (cm/s)	ETCO2	LBNP Pressure	MAP
Range=	10.000 V	10.000 V	100.0000 mmHg	200.0 mV	100.0000 mmHg
UnitName=	mmHg	cm/s	*	*	*
TopValue=	621.60	160	*	*	*
BottomValue=	-584.98	-160	*	*	*
29.2	79.56793	54.44316	0.2780752	1.92375	83.57676
29.25	77.39231	60.00829	0.2780752	1.92375	83.57676
29.3	76.04244	100.6705	0.2780752	1.92375	83.57676
29.35	75.01684	99.01736	0.2780752	1.928125	83.57676
29.4	73.82986	90.02221	0.2780752	1.9325	83.57676
29.45	72.21191	90.53325	0.2780752	1.93425	83.57676
29.5	73.10327	84.28229	0.2780752	1.9365	83.57676
29.55	95.99672	73.10199	0.2780752	1.932125	83.57676
29.6	105.275	76.77033	0.2780752	1.9335	83.76096
29.65	101.0576	78.69504	0.2780752	1.931625	84.12938
29.7	92.94934	75.50533	0.2780752	1.93075	84.12938
29.75	86.61326	71.17838	0.2780752	1.927125	84.12938
29.8	81.08144	67.74576	0.2780752	1.9315	84.12938
29.85	82.17378	66.66065	0.2780752	1.932625	84.12938
29.9	85.27281	63.35378	0.2780752	1.93625	84.12938
29.95	84.71553	60.70552	0.2780752	1.937875	84.12938
30	81.89249	57.99574	0.2780752	1.937375	84.12938
30.05	78.89601	54.7421	0.2780752	1.93625	84.12938
30.1	76.84746	61.72451	0.2780752	1.932875	84.12938
30.15	75.53077	101.6641	0.274943	1.930875	84.12938
30.2	74.46785	99.13862	0.2686787	1.93	84.12938
30.25	72.96678	92.40063	0.2686787	1.92325	84.12938
30.3	71.86803	89.87213	0.2686787	1.9285	84.12938
30.35	87.20599	83.98315	0.2686787	1.924375	84.12938
30.4	106.3277	73.16112	0.2686787	1.930875	84.05367
30.45	103.9123	76.16765	0.2686787	1.929125	83.90225
30.5	96.21465	76.65007	0.2686787	1.932	83.90225
30.55	89.59465	74.00472	0.2710278	1.923375	83.90225
30.6	83.18844	70.39561	0.2757261	1.92325	83.90225
30.65	81.83216	67.26383	0.2757261	1.927625	83.90225
30.7	84.8392	64.79946	0.2757261	1.926875	83.90225
30.75	85.30864	60.34545	0.2757261	1.92575	83.90225
30.8	82.86982	59.74107	0.2757261	1.928	83.90225
30.85	79.82245	56.24581	0.2757261	1.92775	83.90225
30.9	77.43077	56.0064	0.2757261	1.931	83.90225
30.95	75.68763	52.40109	0.2757261	1.924625	83.90225
31	74.3585	56.26882	0.2757261	1.927375	83.90225
31.05	73.30387	99.17104	0.2757261	1.9305	83.90225
31.1	72.04713	100.4016	0.2757261	1.931375	83.90225
31.15	71.4314	90.05262	0.274943	1.926625	83.90225
31.2	89.33486	87.88889	0.273377	1.930875	83.90225
31.25	106.3858	81.39892	0.273377	1.933125	83.47912
31.3	103.6917	72.50021	0.273377	1.929375	82.63287
31.35	96.1728	73.10279	0.273377	1.933	82.63287
31.4	89.6776	74.15529	0.273377	1.933375	82.63287
31.45	83.35849	71.26953	0.273377	1.936	82.63287
31.5	82.08555	68.64999	0.273377	1.930125	82.63287
31.55	84.39465	67.44371	0.273377	1.929375	82.63287
31.6	84.80753	63.53726	0.273377	1.926625	82.63287
31.65	82.46713	61.00767	0.273377	1.922625	82.63287
31.7	79.44689	58.83674	0.273377	1.922875	82.63287
31.75	77.03146	55.82391	0.273377	1.92225	82.63287
31.8	75.22272	55.04605	0.273377	1.92475	82.63287
31.85	73.73975	52.33906	0.273377	1.9245	82.63287
31.9	72.46228	50.46978	0.273377	1.9285	82.63287
31.95	71.52491	79.59196	0.273377	1.926375	82.63287
32	70.6392	105.3375	0.273377	1.927375	82.63287
32.05	69.63171	91.13804	0.2702448	1.930875	82.63287
32.1	82.12514	88.13041	0.2639805	1.93025	82.63287
32.15	104.7101	82.72184	0.2639805	1.92825	82.15747
32.2	103.1898	76.2859	0.2639805	1.9285	81.20667
32.25	95.72938	68.58986	0.2639805	1.934125	81.20667
32.3	88.92952	76.10801	0.2639805	1.927	81.20667
32.35	82.81704	72.01938	0.2639805	1.93025	81.20667
32.4	80.20553	68.59056	0.2639805	1.92875	81.20667
32.45	82.0995	68.22839	0.2639805	1.92575	81.20667
32.5	83.53081	66.54289	0.2639805	1.93	81.20667
32.55	82.01994	61.00617	0.2639805	1.931	81.20667
32.6	79.23235	59.19881	0.2639805	1.92825	81.20667
32.65	76.47229	60.16267	0.2639805	1.927125	81.20667
32.7	74.5376	57.45359	0.2639805	1.927375	81.20667
32.75	73.06104	51.55269	0.2639805	1.925125	81.20667
32.8	71.78056	60.28092	0.2639805	1.925625	81.20667
32.85	70.79983	97.57649	0.2639805	1.9275	81.20667
32.9	69.90243	102.3243	0.2639805	1.927	81.20667
32.95	68.74675	88.36932	0.2639805	1.924625	81.20667
33	71.76434	83.44389	0.2600653	1.92575	81.20667
33.05	97.21084	80.79634	0.2522349	1.92425	80.91337
33.1	102.0538	66.96589	0.2522349	1.9345	80.32677
33.15	96.90278	74.42582	0.2522349	1.927	80.32677
33.2	88.94234	74.72406	0.2522349	1.92925	80.32677
33.25	82.93694	71.23661	0.2522349	1.9295	80.32677
33.3	78.25464	70.63663	0.2522349	1.92775	80.32677
33.35	79.12376	67.6272	0.2522349	1.931	80.32677
33.4	81.82462	63.80969	0.2522349	1.931125	80.32677
33.45	81.51242	63.17459	0.2522349	1.93625	80.32677
33.5	79.04156	62.92938	0.2522349	1.939125	80.32677
33.55	76.29959	57.99284	0.2522349	1.938125	80.32677
33.6	74.25142	59.25844	0.2522349	1.94275	80.32677
33.65	72.76392	96.31568	0.2522349	1.93525	80.32677
33.7	71.53208	103.7106	0.2522349	1.936625	80.32677
33.75	70.49404	92.99991	0.2522349	1.934125	80.32677
33.8	69.31045	91.61836	0.2522349	1.9385	80.32677
33.85	68.16872	87.76914	0.2522349	1.942	80.32677
33.9	79.2825	76.16985	0.2522349	1.938625	80.32677
33.95	101.1417	79.6598	0.2522349	1.937625	80.4363
34	98.84275	82.18389	0.2522349	1.939875	80.65539
34.05	90.62025	75.08813	0.2522349	1.94	80.65539
34.1	83.81322	73.70398	0.2522349	1.938125	80.65539
34.15	77.57971	70.5769	0.2522349	1.93825	80.65539
34.2	76.83728	68.71111	0.2522349	1.9425	80.65539
34.25	80.59353	65.9387	0.2522349	1.943625	80.65539
34.3	81.79747	63.05464	0.2522349	1.9405	80.65539
34.35	79.77908	60.88661	0.2592822	1.9465	80.65539
34.4	76.99074	83.56115	0.273377	1.9435	80.65539
34.45	74.65864	109.91	0.273377	1.9455	80.65539
34.5	73.19566	97.75146	0.273377	1.94225	80.65539
34.55	72.15083	96.79121	0.273377	1.94	80.65539
34.6	70.7033	92.21874	0.273377	1.93775	80.65539
34.65	69.57552	83.80276	0.273377	1.937	80.65539
34.7	81.67681	79.2359	0.273377	1.930625	80.65539
34.75	102.981	85.06646	0.273377	1.93175	81.26535
34.8	100.5565	81.39792	0.273377	1.925875	82.48526
34.85	93.13259	78.15339	0.273377	1.936	82.48526
34.9	86.89906	73.70418	0.273377	1.9315	82.48526
34.95	80.51849	71.41849	0.273377	1.931	82.48526
35	79.13469	68.52953	0.273377	1.93075	82.48526
35.05	82.18358	66.24064	0.273377	1.931375	82.48526
35.1	82.68921	65.16193	0.273377	1.933375	82.48526
35.15	80.47589	60.60758	0.273377	1.938125	82.48526
35.2	77.54539	84.10551	0.273377	1.9375	82.48526
35.25	75.49495	109.128	0.273377	1.9295	82.48526
35.3	74.09418	98.35325	0.273377	1.930375	82.48526
35.35	72.66664	99.79974	0.273377	1.92975	82.48526
35.4	71.04492	90.77646	0.273377	1.926375	82.48526
35.45	72.83293	80.43917	0.273377	1.933	82.48526
35.5	97.59242	80.61945	0.273377	1.929125	82.71546
35.55	102.8026	83.86659	0.273377	1.932625	83.17585
35.6	99.0539	79.59737	0.273377	1.9345	83.17585
35.65	91.91092	76.22967	0.2631974	1.929125	83.17585
35.7	85.65327	71.72214	0.2428384	1.929875	83.17585
35.75	80.96003	71.36147	0.2428384	1.93225	83.17585
35.8	82.33289	67.2049	0.2428384	1.923625	83.17585
35.85	84.48778	65.5213	0.2428384	1.92825	83.17585
35.9	82.79215	62.87525	0.2428384	1.93225	83.17585
35.95	79.91143	61.31081	0.2428384	1.929875	83.17585
36	77.17512	58.9599	0.2428384	1.929125	83.17585
36.05	75.28418	62.81142	0.2428384	1.931	83.17585
36.1	74.06439	71.29113	0.2428384	1.92875	83.17585
36.15	72.66589	106.6581	0.2459706	1.929875	83.17585
36.2	71.06151	99.19905	0.2522349	1.934	83.17585
36.25	73.91207	94.14336	0.2522349	1.929	83.17585
36.3	100.2194	92.93998	0.2522349	1.931375	82.93652
36.35	103.1793	82.81209	0.2522349	1.933375	82.45786
36.4	99.48035	76.7101	0.2522349	1.93175	82.45786
36.45	92.42937	81.03995	0.2522349	1.931625	82.45786
36.5	85.68833	80.01687	0.2522349	1.933875	82.45786
36.55	81.67681	74.72827	0.2522349	1.9315	82.45786
36.6	83.34152	74.36689	0.2522349	1.930625	82.45786
36.65	85.27169	68.10833	0.2522349	1.935125	82.45786
36.7	83.50743	66.1511	0.2522349	1.934875	82.45786
36.75	80.67799	68.65089	0.2522349	1.933875	82.45786
36.8	78.11211	61.37054	0.2522349	1.937875	82.45786
36.85	76.16649	60.64359	0.2522349	1.93975	82.45786
36.9	74.59492	58.71538	0.2522349	1.942375	82.45786
