Interval=	0.001 s
ExcelDateTime=	4.4588644429292355e+004	1/27/2022 15:27:58.69086
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	BraBP	TCD (cm/s)
Range=	100.00 mV	10.000 V	10.000 V
UnitName=	*	mmHg	cm/s
TopValue=	*	621.60	160
BottomValue=	*	-584.98	-160
57.356	1.76875	74.038	61.67588
57.357	1.803125	74.05685	61.66588
57.358	1.834375	74.0003	61.66588
57.359	1.971875	73.86833	61.66588
57.36	2.071875	73.94374	61.65087
57.361	2.125	73.81177	63.17659
57.362	2.184375	73.86833	63.16659
57.363	2.20625	73.86833	63.16159
57.364	2.221875	73.83062	63.16159
57.365	2.334375	73.79291	63.17159
57.366	2.4	73.6798	63.16159
57.367	2.428125	73.75521	63.1816
57.368	2.44375	73.6798	63.17659
57.369	2.434375	73.64209	63.17659
57.37	2.421875	73.52897	63.17159
57.371	2.38125	73.58553	63.1866
57.372	2.3	73.60439	63.17159
57.373	2.15	73.47241	63.16659
57.374	2.090625	73.51012	63.16659
57.375	2.009375	73.3593	63.17659
57.376	2.065625	73.52897	63.17159
57.377	2.03125	73.47241	63.17159
57.378	1.946875	73.49127	63.17659
57.379	1.81875	73.397	63.15658
57.38	1.7125	73.43471	63.17159
57.381	1.625	73.43471	63.17659
57.382	1.571875	73.37815	63.16659
57.383	1.503125	73.43471	63.17659
57.384	1.459375	73.26503	63.16659
57.385	1.409375	73.28389	63.17659
57.386	1.35625	73.28389	63.16659
57.387	1.403125	73.30274	63.16659
57.388	1.384375	73.34044	63.16159
57.389	1.396875	73.26503	63.17159
57.39	1.325	73.32159	63.17659
57.391	1.328125	73.26503	63.15658
57.392	1.31875	73.22733	63.16659
57.393	1.365625	73.15192	61.66088
57.394	1.403125	73.0765	61.65587
57.395	1.415625	73.0765	61.66088
57.396	1.378125	73.01995	61.66588
57.397	1.378125	73.0765	61.67588
57.398	1.415625	72.98224	61.65587
57.399	1.43125	73.01995	61.66588
57.4	1.4375	73.00109	61.66088
57.401	1.44375	72.96339	61.65587
57.402	1.421875	72.96339	61.67088
57.403	1.40625	72.92568	61.66088
57.404	1.45625	72.92568	61.65087
57.405	1.475	72.83142	61.67088
57.406	1.475	72.86912	61.65587
57.407	1.4375	72.79371	61.65587
